coso,site,channel,origen
"/7811748/as_mob/resultados/comparador/portada","as","mob","amazonPrisa"
"/7811748/as_mob/resultados/directo","as","mob","amazonPrisa"
"/7811748/as_mob/resultados/enjuego","as","mob","amazonPrisa"
"/7811748/as_mob/resultados/equipos","as","mob","amazonPrisa"
"/7811748/as_mob/resultados/estadisticas","as","mob","amazonPrisa"
"/7811748/as_mob/resultados/ficha","as","mob","amazonPrisa"
"/7811748/as_mob/resultados/ficha/deportista","as","mob","amazonPrisa"
"/7811748/as_mob/resultados/ficha/equipo","as","mob","amazonPrisa"
"/7811748/as_mob/resultados/integrantes","as","mob","amazonPrisa"
"/7811748/as_mob/resultados/jornada","as","mob","amazonPrisa"
"/7811748/as_mob/resultados/juegos_olimpicos","as","mob","amazonPrisa"
"/7811748/as_mob/resultados/juegos_olimpicos/equipo","as","mob","amazonPrisa"
"/7811748/as_mob/resultados/quiniela","as","mob","amazonPrisa"
"/7811748/as_mob/resultados/ranking","as","mob","amazonPrisa"
"/7811748/as_mob/rugby/seis_naciones","as","mob","amazonPrisa"
"/7811748/as_mob/servicios/horoscopo","as","mob","amazonPrisa"
"/7811748/as_mob/servicios/loteria-navidad","as","mob","amazonPrisa"
"/7811748/as_mob/tags/blogs","as","mob","amazonPrisa"
"/7811748/as_mob/television/canales","as","mob","amazonPrisa"
"/7811748/as_mob/television/programas","as","mob","amazonPrisa"
"/7811748/as_mob/tenis","as","mob","amazonPrisa"
"/7811748/as_mob/tenis/copa_davis","as","mob","amazonPrisa"
"/7811748/as_mob/tenis/directo","as","mob","amazonPrisa"
"/7811748/as_mob/tenis/final_atp","as","mob","amazonPrisa"
"/7811748/as_mob/tenis/infografia","as","mob","amazonPrisa"
"/7811748/as_mob/tenis/mas_tenis","as","mob","amazonPrisa"
"/7811748/as_mob/tenis/maS_tenis/portada","as","mob","amazonPrisa"
"/7811748/as_mob/tenis/masters_1000","as","mob","amazonPrisa"
"/7811748/as_mob/tenis/masters_1000/portada","as","mob","amazonPrisa"
"/7811748/as_mob/tenis/open_australia","as","mob","amazonPrisa"
"/7811748/as_mob/tenis/open_australia/portada","as","mob","amazonPrisa"
"/7811748/as_mob/tenis/portada","as","mob","amazonPrisa"
"/7811748/as_mob/tenis/reportajes","as","mob","amazonPrisa"
"/7811748/as_mob/tenis/roland_garros","as","mob","amazonPrisa"
"/7811748/as_mob/tenis/roland_garros/portada","as","mob","amazonPrisa"
"/7811748/as_mob/tenis/us_open","as","mob","amazonPrisa"
"/7811748/as_mob/tenis/us_open/portada","as","mob","amazonPrisa"
"/7811748/as_mob/tenis/videos","as","mob","amazonPrisa"
"/7811748/as_mob/tenis/wimbledon","as","mob","amazonPrisa"
"/7811748/as_mob/tenis/wimbledon/portada","as","mob","amazonPrisa"
"/7811748/as_mob/tikitakas/fotorrelato","as_tikitakas","mob","amazonPrisa"
"/7811748/as_mob/tikitakas/portada","as_tikitakas","mob","amazonPrisa"
"/7811748/as_mob/tikitakas/reportajes","as_tikitakas","mob","amazonPrisa"
"/7811748/as_mob/tikitakas/videos","as_tikitakas","mob","amazonPrisa"
"/7811748/as_mob/toros","as","mob","amazonPrisa"
"/7811748/as_mob/us/actualidad","as","mob","amazonPrisa"
"/7811748/as_mob/us/actualidad/portada","as","mob","amazonPrisa"
