coso	site	channel	format	origen
/7811748/biwenger_mob/player-mpu3	biwenger		display	criteoSubid
/7811748/biwenger_mob/players-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/players-mpu1	biwenger		display	criteoSubid
/7811748/biwenger_mob/players-mpu2	biwenger		display	criteoSubid
/7811748/biwenger_mob/pools-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/pools-mpu3	biwenger		display	criteoSubid
/7811748/biwenger_mob/record-book-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/record-book-mpu3	biwenger		display	criteoSubid
/7811748/biwenger_mob/r-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/r-mpu1	biwenger		display	criteoSubid
/7811748/biwenger_mob/r-mpu2	biwenger		display	criteoSubid
/7811748/biwenger_mob/r-mpu3	biwenger		display	criteoSubid
/7811748/biwenger_mob/round-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/round-mpu1	biwenger		display	criteoSubid
/7811748/biwenger_mob/round-mpu2	biwenger		display	criteoSubid
/7811748/biwenger_mob/round-mpu3	biwenger		display	criteoSubid
/7811748/biwenger_mob/seasonStats-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/seasonStats-mpu1	biwenger		display	criteoSubid
/7811748/biwenger_mob/seasonStats-mpu2	biwenger		display	criteoSubid
/7811748/biwenger_mob/seasonStats-mpu3	biwenger		display	criteoSubid
/7811748/biwenger_mob/settings-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/squad-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/squad-mpu1	biwenger		display	criteoSubid
/7811748/biwenger_mob/squad-mpu2	biwenger		display	criteoSubid
/7811748/biwenger_mob/squad-mpu3	biwenger		display	criteoSubid
/7811748/biwenger_mob/stats-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/stats-mpu1	biwenger		display	criteoSubid
/7811748/biwenger_mob/team-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/team-mpu1	biwenger		display	criteoSubid
/7811748/biwenger_mob/team-mpu3	biwenger		display	criteoSubid
/7811748/biwenger_mob/tournament-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/tournament-mpu3	biwenger		display	criteoSubid
/7811748/biwenger_mob/user-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/user-mpu1	biwenger		display	criteoSubid
/7811748/biwenger_mob/user-mpu3	biwenger		display	criteoSubid
/7811748/biwenger_nba_app/android/account-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/challenges-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/challenges-mpu2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/challenges-mpu3	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/comparator-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/comparator-mpu1	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/comparator-mpu2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/comparator-mpu3	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/draft-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/draft-mpu2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/draft-mpu3	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/group-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/group-mpu1	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/group-mpu2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/group-mpu3	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/home-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/home-mpu1	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/home-mpu2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/join-mpu1	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/league-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/league-mpu1	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/league-mpu2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/league-mpu3	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/market-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/market-mpu1	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/market-mpu2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/market-mpu3	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/marketStats-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/marketStats-mpu1	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/match-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/match-mpu1	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/match-mpu2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/match-mpu3	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/messages-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/news-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/news-mpu1	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/offers-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/offers-mpu2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/offers-mpu3	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/other-mpu1	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/other-mpu2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/player-mldb2	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/player-mpu1	biwenger_nba	app	display	criteoSubid
/7811748/biwenger_nba_app/android/player-mpu2	biwenger_nba	app	display	criteoSubid
