coso	site	channel	origen
/7811748/as_mob/us/portada	as		amazonPrisa
/7811748/as_mob/us/reportajes	as		amazonPrisa
/7811748/as_mob/us/tikitakas	as		amazonPrisa
/7811748/as_mob/us/tikitakas/portada	as		amazonPrisa
/7811748/as_mob/us/videos	as		amazonPrisa
/7811748/as_mob/videos	as		amazonPrisa
/7811748/as_mob/videos/portada	as		amazonPrisa
/7811748/as_mob/videos/portada/portada	as		amazonPrisa
/7811748/as_nba_mob	as_nba		amazonPrisa
/7811748/as_nba_mob/portada	as_nba		amazonPrisa
/7811748/as_nba_web	as_nba		amazonPrisa
/7811748/as_nba_web/portada	as_nba		amazonPrisa
/7811748/as_web/america	as		amazonPrisa
/7811748/as_web/apuestas/noticias	as		amazonPrisa
/7811748/as_web/argentina/actualidad	as		amazonPrisa
/7811748/as_web/argentina/actualidad/portada	as		amazonPrisa
/7811748/as_web/argentina/directo	as		amazonPrisa
/7811748/as_web/argentina/fotogalerias	as		amazonPrisa
/7811748/as_web/argentina/futbol	as		amazonPrisa
/7811748/as_web/argentina/infografia	as		amazonPrisa
/7811748/as_web/argentina/masdeporte	as		amazonPrisa
/7811748/as_web/argentina/portada	as		amazonPrisa
/7811748/as_web/argentina/reportajes	as		amazonPrisa
/7811748/as_web/argentina/tikitakas	as		amazonPrisa
/7811748/as_web/argentina/videos	as		amazonPrisa
/7811748/as_web/as/actualidad	as		amazonPrisa
/7811748/as_web/as/directo	as		amazonPrisa
/7811748/as_web/baloncesto	as_baloncesto		amazonPrisa
/7811748/as_web/baloncesto/acb	as_baloncesto		amazonPrisa
/7811748/as_web/baloncesto/copa_del_rey	as_baloncesto		amazonPrisa
/7811748/as_web/baloncesto/directo	as_baloncesto		amazonPrisa
/7811748/as_web/baloncesto/eurocup	as_baloncesto		amazonPrisa
/7811748/as_web/baloncesto/euroliga	as_baloncesto		amazonPrisa
/7811748/as_web/baloncesto/infografia	as_baloncesto		amazonPrisa
/7811748/as_web/baloncesto/mas_baloncesto	as_baloncesto		amazonPrisa
/7811748/as_web/baloncesto/mundial	as_baloncesto		amazonPrisa
/7811748/as_web/baloncesto/reportajes	as_baloncesto		amazonPrisa
/7811748/as_web/baloncesto/videos	as_baloncesto		amazonPrisa
/7811748/as_web/buenavida	as_buenavida		amazonPrisa
/7811748/as_web/buenavida/fotorrelato	as_buenavida		amazonPrisa
/7811748/as_web/buenavida/fotorrelato/portada	as_buenavida		amazonPrisa
/7811748/as_web/buscador	as		amazonPrisa
/7811748/as_web/chile/actualidad	as		amazonPrisa
/7811748/as_web/chile/deporte_femenino	as		amazonPrisa
/7811748/as_web/chile/deportes_aventura	as		amazonPrisa
/7811748/as_web/chile/directo	as		amazonPrisa
/7811748/as_web/chile/fotogalerias	as		amazonPrisa
/7811748/as_web/chile/futbol	as		amazonPrisa
/7811748/as_web/chile/lomasvisto	as		amazonPrisa
/7811748/as_web/chile/masdeporte	as		amazonPrisa
/7811748/as_web/chile/opinion	as		amazonPrisa
/7811748/as_web/chile/portada	as		amazonPrisa
/7811748/as_web/chile/reportajes	as		amazonPrisa
/7811748/as_web/chile/tikitakas	as		amazonPrisa
/7811748/as_web/chile/videos	as		amazonPrisa
/7811748/as_web/ciclismo	as		amazonPrisa
/7811748/as_web/ciclismo/directo	as		amazonPrisa
/7811748/as_web/ciclismo/giro_de_italia	as		amazonPrisa
/7811748/as_web/ciclismo/infografia	as		amazonPrisa
/7811748/as_web/ciclismo/reportajes	as		amazonPrisa
/7811748/as_web/ciclismo/tour_de_francia	as		amazonPrisa
/7811748/as_web/ciclismo/videos	as		amazonPrisa
/7811748/as_web/ciclismo/vuelta_a_espana	as		amazonPrisa
/7811748/as_web/colombia/actualidad	as		amazonPrisa
/7811748/as_web/colombia/directo	as		amazonPrisa
/7811748/as_web/colombia/fotogalerias	as		amazonPrisa
/7811748/as_web/colombia/fotorrelato	as		amazonPrisa
/7811748/as_web/colombia/futbol	as		amazonPrisa
/7811748/as_web/colombia/infografia	as		amazonPrisa
/7811748/as_web/colombia/masdeporte	as		amazonPrisa
/7811748/as_web/colombia/masdeporte/portada	as		amazonPrisa
/7811748/as_web/colombia/opinion	as		amazonPrisa
/7811748/as_web/colombia/portada	as		amazonPrisa
/7811748/as_web/colombia/reportajes	as		amazonPrisa
/7811748/as_web/colombia/tikitakas	as		amazonPrisa
/7811748/as_web/colombia/videos	as		amazonPrisa
/7811748/as_web/deportes_accion	as		amazonPrisa
/7811748/as_web/deportes_accion/agua	as		amazonPrisa
/7811748/as_web/deportes_accion/mas_accion	as		amazonPrisa
/7811748/as_web/deportes_accion/mas_deportes	as		amazonPrisa
/7811748/as_web/deportes_accion/mtb	as		amazonPrisa
/7811748/as_web/deportes_accion/reportajes	as		amazonPrisa
/7811748/as_web/deportes_accion/snow	as		amazonPrisa
/7811748/as_web/deportes_accion/surf	as		amazonPrisa
/7811748/as_web/deportes_accion/tierra	as		amazonPrisa
/7811748/as_web/deportes_accion/urbano	as		amazonPrisa
/7811748/as_web/deporteyvida/videos	as		amazonPrisa
/7811748/as_web/diarioas/actualidad	as	web	amazonPrisa
/7811748/as_web/diarioas/directo	as	web	amazonPrisa
/7811748/as_web/en/directo	as		amazonPrisa
/7811748/as_web/en/football	as		amazonPrisa
/7811748/as_web/en/infografia	as		amazonPrisa
/7811748/as_web/en/infografia/portada	as		amazonPrisa
/7811748/as_web/en/latest_news	as		amazonPrisa
/7811748/as_web/en/opinion	as		amazonPrisa
/7811748/as_web/en/other_sports	as		amazonPrisa
/7811748/as_web/en/portada	as		amazonPrisa
/7811748/as_web/en/reportajes	as		amazonPrisa
/7811748/as_web/en/videos	as		amazonPrisa
/7811748/as_web/encuestas	as		amazonPrisa
/7811748/as_web/entrevistas	as		amazonPrisa
/7811748/as_web/epik	as_epik		amazonPrisa
/7811748/as_web/epik/videos	as_epik		amazonPrisa
/7811748/as_web/epik/videos/portada	as_epik		amazonPrisa
/7811748/as_web/esports/league_of_legends	as_esports		amazonPrisa
/7811748/as_web/esports/mas_esports	as_esports		amazonPrisa
/7811748/as_web/fotogalerias/baloncesto	as		amazonPrisa
/7811748/as_web/fotogalerias/buenavida	as		amazonPrisa
/7811748/as_web/fotogalerias/ciclismo	as		amazonPrisa
/7811748/as_web/fotogalerias/deportes_accion	as		amazonPrisa
/7811748/as_web/fotogalerias/en	as		amazonPrisa
/7811748/as_web/fotogalerias/epik	as		amazonPrisa
/7811748/as_web/fotogalerias/futbol	as		amazonPrisa
/7811748/as_web/fotogalerias/masdeporte	as		amazonPrisa
/7811748/as_web/fotogalerias/motor	as		amazonPrisa
/7811748/as_web/fotogalerias/ocio	as		amazonPrisa
/7811748/as_web/fotogalerias/tenis	as		amazonPrisa
/7811748/as_web/fotogalerias/tikitakas	as		amazonPrisa
