coso	site	origen
/4900/webm.BURGOSCONECTA/AMP/burgos/universidad	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/burgoscf	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/castillayleon	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/culturas	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/deportes	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/deportes/baloncesto	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/deportes/futbol	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/deportes/futbol-femenino	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/deportes/motor	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/economia/mercados	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/economia/vivienda	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/elecciones	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/elecciones/madrid	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/gente-estilo	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/internacional	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/loteria	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/loteria/navidad	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/motor	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/nacional	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/planes	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/planes/canal-esqui	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/portada	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/provincia/diputacion	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/provincia/merindades	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/provincia/miranda	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/provincia/ribera	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/sanpabloburgos	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/sociedad	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/sociedad/educacion	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/sociedad/salud	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/somoscampo	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/tecnologia	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/temas/portada	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/vivir	burgosconecta	amazonVocentoSlotname
/4900/webm.BURGOSCONECTA/AMP/vivir/salud	burgosconecta	amazonVocentoSlotname
vocento.burgosconecta-megabanner	burgosconecta	amazonVocentoSlotname
vocento.burgosconecta-megabanner_cinco	burgosconecta	amazonVocentoSlotname
vocento.burgosconecta-megabanner_cinco_local	burgosconecta	amazonVocentoSlotname
vocento.burgosconecta-megabanner_cuatro	burgosconecta	amazonVocentoSlotname
vocento.burgosconecta-megabanner_cuatro_local	burgosconecta	amazonVocentoSlotname
vocento.burgosconecta-megabanner_dos	burgosconecta	amazonVocentoSlotname
vocento.burgosconecta-megabanner_dos_local	burgosconecta	amazonVocentoSlotname
vocento.burgosconecta-megabanner_local	burgosconecta	amazonVocentoSlotname
